<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150109;060000;58.3748000
USDRUB;60;20150109;070000;59.8570000
USDRUB;60;20150109;080000;60.6635000
USDRUB;60;20150109;090000;60.6635000
USDRUB;60;20150109;100000;59.7200000
USDRUB;60;20150109;110000;59.7599000
USDRUB;60;20150109;120000;62.0050000
USDRUB;60;20150109;130000;59.9700000
USDRUB;60;20150109;140000;60.7192000
USDRUB;60;20150109;150000;61.4287000
USDRUB;60;20150109;160000;61.5002000
USDRUB;60;20150109;170000;61.5862000
USDRUB;60;20150109;180000;61.4017000
USDRUB;60;20150109;190000;61.5479000
USDRUB;60;20150109;200000;61.5272000
USDRUB;60;20150109;210000;61.1019000
USDRUB;60;20150109;220000;61.1247000
USDRUB;60;20150109;230000;61.5811000
USDRUB;60;20150110;000000;61.4934000
USDRUB;60;20150110;010000;61.3566000
USDRUB;60;20150110;020000;61.3680000
USDRUB;60;20150110;030000;61.1993000
USDRUB;60;20150110;040000;61.5000000
USDRUB;60;20150110;050000;61.7241000
USDRUB;60;20150110;060000;61.6700000
USDRUB;60;20150112;020000;61.5293000
USDRUB;60;20150112;030000;61.0000000
USDRUB;60;20150112;040000;61.6700000
USDRUB;60;20150112;050000;61.6700000
USDRUB;60;20150112;060000;61.6700000
USDRUB;60;20150112;070000;61.6700000
USDRUB;60;20150112;080000;61.5825000
USDRUB;60;20150112;090000;61.3000000
USDRUB;60;20150112;100000;61.3000000
USDRUB;60;20150112;110000;61.3000000
USDRUB;60;20150112;120000;61.6950000
USDRUB;60;20150112;130000;61.3750000
USDRUB;60;20150112;140000;62.7544000
USDRUB;60;20150112;150000;62.6808000
USDRUB;60;20150112;160000;62.7305000
USDRUB;60;20150112;170000;62.4715000
USDRUB;60;20150112;180000;62.0211000
USDRUB;60;20150112;190000;62.6065000
USDRUB;60;20150112;200000;62.9007000
USDRUB;60;20150112;210000;63.2393000
USDRUB;60;20150112;220000;62.8679000
USDRUB;60;20150112;230000;62.9300000
USDRUB;60;20150113;000000;62.8150000
USDRUB;60;20150113;010000;62.8725000
USDRUB;60;20150113;020000;62.9000000
USDRUB;60;20150113;030000;62.8750000
USDRUB;60;20150113;040000;62.8270000
USDRUB;60;20150113;050000;63.0750000
USDRUB;60;20150113;060000;62.9360000
USDRUB;60;20150113;070000;63.1454000
USDRUB;60;20150113;080000;62.8270000
USDRUB;60;20150113;090000;62.8270000
USDRUB;60;20150113;100000;63.0400000
USDRUB;60;20150113;110000;63.0400000
USDRUB;60;20150113;120000;63.1450000
USDRUB;60;20150113;130000;64.3620000
USDRUB;60;20150113;140000;65.0892000
USDRUB;60;20150113;150000;64.6578000
USDRUB;60;20150113;160000;65.0155000
USDRUB;60;20150113;170000;65.0157000
USDRUB;60;20150113;180000;65.3441000
USDRUB;60;20150113;190000;65.9798000
USDRUB;60;20150113;200000;66.3974000
USDRUB;60;20150113;210000;65.5910000
USDRUB;60;20150113;220000;65.4636000
USDRUB;60;20150113;230000;64.6477000
USDRUB;60;20150114;000000;65.6060000
USDRUB;60;20150114;010000;65.6420000
USDRUB;60;20150114;020000;65.4140000
USDRUB;60;20150114;030000;65.2350000
USDRUB;60;20150114;040000;65.5620000
USDRUB;60;20150114;050000;65.5620000
USDRUB;60;20150114;060000;65.1160000
USDRUB;60;20150114;070000;65.2305000
USDRUB;60;20150114;080000;65.1093000
USDRUB;60;20150114;090000;64.9400000
USDRUB;60;20150114;100000;65.2100000
USDRUB;60;20150114;110000;65.2100000
USDRUB;60;20150114;120000;65.2137000
USDRUB;60;20150114;130000;65.9000000
USDRUB;60;20150114;140000;66.0767000
USDRUB;60;20150114;150000;65.9338000
USDRUB;60;20150114;160000;65.9431000
USDRUB;60;20150114;170000;65.9484000
USDRUB;60;20150114;180000;66.0952000
USDRUB;60;20150114;190000;66.1520000
USDRUB;60;20150114;200000;66.3895000
USDRUB;60;20150114;210000;66.2664000
USDRUB;60;20150114;220000;65.9416000
USDRUB;60;20150114;230000;65.8183000
USDRUB;60;20150115;000000;65.7947000
USDRUB;60;20150115;010000;65.9492000
USDRUB;60;20150115;020000;65.0950000
USDRUB;60;20150115;030000;64.2300000
USDRUB;60;20150115;040000;64.3450000
USDRUB;60;20150115;050000;65.3680000
USDRUB;60;20150115;060000;65.3680000
USDRUB;60;20150115;070000;65.0532000
USDRUB;60;20150115;080000;64.7008000
USDRUB;60;20150115;090000;64.8425000
USDRUB;60;20150115;100000;64.3880000
USDRUB;60;20150115;110000;64.2375000
USDRUB;60;20150115;120000;64.2700000
USDRUB;60;20150115;130000;63.9845000
USDRUB;60;20150115;140000;65.3741000
USDRUB;60;20150115;150000;65.1323000
USDRUB;60;20150115;160000;64.4480000
USDRUB;60;20150115;170000;65.7891000
